"","VSCC_5","VSCC_6","VSCC_4","VSCC_1","VSCC_2","VSCC_3","VSCC_7","VSCC_8"
"A3GALT2",7.73931188037943,0.802214266817311,2.36977311033068,0.0482679122455235,0,0,0,0
"A4GALT",15.4150986960333,17.2139698063928,18.9285217111974,2.11015659351383,5.40064467734275,6.51933705038512,4.14823237957131,11.4834533294785
"A4GNT",8.02847255329382,0,0,0.159450436395723,0,0,5.57948489748771,0
"AAAS",2.71965904758951,22.0385978281743,29.9865340143491,16.889055622628,20.7556098318071,28.6132667400587,17.9446431490731,14.1297817806641
"AACS",4.87943719828537,5.65513629783418,2.369539000142,1.85600745998401,2.88407969369055,3.26308182987517,0.45871635497507,6.69916049894384
"AADAC",0,0.209893474853053,7.37570571609486,0,0,0.0396264520751941,10.3954458140745,3.55106553333346
"AADACL2",1.55984992646942,0,0,0,0,0.156301584967847,0.630823631922196,0
"AADACL3",0,0,1.28406760745782,2.89834885929254,0,0,0,0
"AADACL4",4.23613634954243,0,0.0321142566346938,1.77524976642459,0.107089873313762,0,0,0
"AADAT",4.16844135259078,1.53794297550936,2.01725523997805,0,0.273766924127092,0.979941753021313,1.42818900857658,3.40028367682331
"AAGAB",10.3941684217197,16.2245023154705,11.2928150886957,7.97988055333936,19.9914947558994,14.6344590560721,11.2145082022706,16.9829900950593
"AAK1",0.431403308937054,1.64739582270003,4.14298639895139,1.2310200578067,5.61037991669528,5.10089101313924,0.612704880228538,2.28916958552731
"AAMDC",1.05631488584648,1.6228134538429,1.335220265248,0.717911979168205,1.00560612881774,1.30884799467808,2.81887542082726,0.778703223151587
"AAMP",147.254132041842,64.023582132727,84.2211643674805,129.800866304137,85.272051017727,99.7195179099195,44.781505628804,92.2063827384982
"AANAT",0,0,0,0,0,0,2.68132562465496,0
"AAR2",1.39984779964254,2.47010233984512,5.62450920419654,0,7.09534750208441,5.92775248528693,0.613012266094727,1.54792762287418
"AARD",0,0,0,0,3.62650562349515,1.36436777069408,0,0
"AARS1",0.251001085253092,5.90301194954134,12.7414539063103,4.30938643307094,9.74098489411221,13.991171226738,1.42085457545076,3.03105152737391
"AARS2",33.7337244962658,11.3853854816894,10.4567697713237,23.0023945741093,8.80164862081884,14.4210760918848,24.3693731767368,29.8371895760287
"AARSD1",0,6.53976210193274,11.6785636428358,23.6170210156353,14.4938444433574,21.0546724113885,10.9725476984268,24.1230374470108
"AASDH",0.687044506271106,0.762227891673957,2.65508585256333,9.44461272017047,3.9892065656772,4.88575291248678,5.30435017485323,2.94434481600858
"AASDHPPT",13.7612141801675,15.4684831703079,38.3842004651963,11.3616065468309,35.5019202636356,30.5577289236111,3.99999777450829,7.50815718087345
"AASS",0,1.67741810283222,0.898323873389274,0.555329519866817,0.841546745788277,1.68373279480743,0,0.758803757939535
"AATF",9.24366051359664,18.4065028990374,19.8059902108694,7.08455817292256,16.705305534308,13.6673613135633,8.51745081905363,14.6627927317739
"AATK",2.57265143013316,0.998875115658744,2.09311268054586,0.881258764838373,0.0773079401330291,0.789169602273695,0.68250861875863,0
"ABAT",0,0.913359817858177,1.78577856282266,3.15132557006087,3.1062005449517,2.1190940554004,1.31537133326435,0.640735382927082
"ABCA1",1.77876653295732,3.84912587356534,15.1482175310482,3.30963924787258,7.09020288129655,6.5254465236057,7.41051233959873,7.33687835386174
"ABCA10",0,0.192137921255756,0,0.70855428374185,0.422404845703508,3.14182460339363,1.57026831819915,1.22564000457327
"ABCA12",0,1.79709961233524,0.313755871710831,0,0,0,0,0.349915001131807
"ABCA13",0.0852460012137748,0.122031592470638,0.0604891954172696,0,0,0.00359980152884905,0.118650059199808,0
"ABCA2",0,4.04699131775269,34.8719619607566,9.47637970277867,21.6048682494864,30.3246537507576,6.75209936706553,22.5060541324071
"ABCA3",1.38677664273233,0.0932895842135747,0.421159922125416,0,0.7876149387983,2.1311046668106,0.542005670712717,1.54756583535901
"ABCA4",0,0,0.0402790975265187,0,0,0.00890339801836002,0.00449169619388866,0
"ABCA5",0.0326210484542174,1.79494568444808,4.66508591425658,1.0927208601844,4.87623097326564,5.24151843501677,2.16131183227952,2.58915324091996
"ABCA6",0.909735730118671,0.507516862058641,7.96840017509192,5.87855554774464,1.04222402274448,5.92972704526663,7.67028392480862,6.30144946354573
"ABCA7",0.0264453705909444,1.72723248579076,19.4869497612734,7.30320406419424,10.1324093818883,13.3562757921809,2.86201889300778,0
"ABCA8",0,0.0686835735447547,0,0,0,1.86724638569867,0,0
"ABCA9",0,0,0.256186792064022,0.42405377071802,0.256288147213315,0.700302130514057,0,0.545909564221077
"ABCB1",0,0.140989898110688,0.337035234047871,0.148021964773368,0.693654100136872,0.459023455470615,0.367229492865787,0.312943647397477
"ABCB10",0,0.646422076203225,0.806257287056601,5.10723438319725,1.00822033316091,1.61364086630283,17.1570272237383,7.66971036917611
"ABCB11",6.76590942101218,0.35872420185334,2.29790535161959,2.30677342153597,0,2.28570778509462,3.0749922482719,0
"ABCB4",0,0,1.53783481353932,0,0.656652596864208,0.486054249437799,0,0
"ABCB5",0,0,0.16471484637498,0,0,0.00353976431120786,0,0.230698698991209
"ABCB6",10.2675828888393,0.0656173159836643,6.00470782602672,10.1268403785387,4.6054306586861,11.0254093023399,7.18715713767104,4.10896409600856
"ABCB7",0,1.96394109405836,4.30355348549979,1.91134428810823,3.21496397065995,3.36187048886265,0.68714077517175,0
"ABCB8",5.2402403372681,6.7513710644779,18.0770984717267,7.53949775629648,9.25196350349693,9.91365408259702,1.42896075724619,0
"ABCB9",0.724276301296932,0,0,0,0.21295664117636,0.1505724225942,0.455775812387331,0
"ABCC1",4.91644841574997,4.60523987373521,7.84455708416622,3.68386244294474,7.99404845532246,7.44515165573057,4.98816416214271,6.48567788228036
"ABCC10",0.0293245036794746,5.90325398024212,23.3371938673314,11.2176603644322,20.469489396165,21.3487510555108,14.2937379943524,18.4182700957799
"ABCC11",0,0,0.252747582126913,0,0,0,0,0
"ABCC12",0,0,1.21851070607622,0,0.0081921558153106,0.068421765331869,0.943499030650865,0.637040486193024
"ABCC2",0,0,0.443294632474288,0,0.114387106547293,0.187808446311437,0,0
"ABCC3",5.50712097466895,1.45290135959682,1.02768303192741,2.92472509478027,7.49648676904141,9.01406296792015,3.92079954450985,3.70122980572367
"ABCC4",0,0.322285304644947,0.505962941122111,0.42492969488138,0.432730124375647,0.930932487426292,0.0941343035415457,0.285610153941719
"ABCC5",10.7863881590276,5.86568790981363,5.92901070419723,7.34797737618754,3.81857760479792,8.35214054843531,22.7645650067955,20.593783505198
"ABCC6",0,0.129665138250434,0.731723696545155,0.21308496860766,0.00824339176015719,0.321298569418163,0,0.516381015305836
"ABCC8",0,0,0.0087485055487019,0,0,0.0338413732086783,0,0
"ABCC9",1.70070565602837,0.433558705596406,2.51277542402134,0.538536011189642,0.356202163388476,1.015290995214,0.246176786972477,0.320591232026937
"ABCD1",4.24858254725993,9.73110830496169,25.93592005264,19.1203902239592,11.0119700329035,12.5444036892374,7.00920128208836,11.9600882243346
"ABCD2",0,0,3.4075550741123,0.773376895909729,6.01674944516725,3.46315142208456,0,1.06716582356057
"ABCD3",0,1.140523009586,2.1131790632022,0.248351325417617,2.34481349649038,2.37538800401743,0.931103801255182,0.258550798296131
"ABCD4",2.01540755098169,0.714470968628607,2.3662046460379,0.35004955946956,0.138429285806629,0.674436154275407,2.46274656539524,0
"ABCE1",23.9477663678743,14.2388693392558,13.5442494226906,9.63383395638804,23.9029587289801,21.6701926750144,2.38022884490713,11.0031678382136
"ABCF1",36.0123828620744,40.7858364750776,42.8068183146253,47.5652814919313,55.0693424810162,54.8265680599244,29.8611753371842,34.0308315672968
"ABCF2",25.941939620675,15.5120236540007,14.9349126660939,24.7298488446154,12.6464499488935,11.9540637295612,13.3446022501009,12.389964479028
"ABCF3",26.141233797676,33.0956436155849,32.2679361505284,12.7572634675022,26.4341011210459,25.3969670261085,0,2.51908730003995
"ABCG1",2.26092763612408,0.832260705560599,6.03646682321622,5.77470847943348,3.66258438823598,3.73172177419411,3.02761344777885,0.298424025869967
"ABCG2",0.348978963224165,0.153977466235377,0.887188175044896,0,0.243638204406296,1.00937125677477,0,0.00469887288822674
"ABCG4",5.07217969208639,1.86862446114674,0,0,0,0.0839960747980183,0,0
"ABCG5",0,0.0229274007502502,1.87431154386817,0,0,0,0,0
"ABCG8",0,0,0.896779575400056,0,0,0,0,0
"ABHD1",0,0,16.5056533195578,0,0.17528857164721,1.46402897906174,0,9.08722273873446
"ABHD10",8.43187931205941,8.34477864774117,19.0781252514932,30.2091778364593,13.9327128628801,22.5176113366611,26.9748936929939,27.5026856287395
"ABHD11",30.6535692922137,48.9276301755988,51.3999506393558,15.8019834130091,31.0217871240557,34.7948410150613,83.1712498760719,59.5367741858934
"ABHD12",3.46992802765714,1.07053470034477,10.9337435412795,6.77428065439705,11.0751474263207,10.1352033744601,1.69138227060432,1.68803202927635
"ABHD12B",1.66429409065029,0.22059952778249,0,0.126094550226845,0,0,0,0
"ABHD13",47.9595329391499,14.4685871271537,45.322296680491,65.1581065816759,35.9195875899779,40.4330057458155,18.7619274997209,41.5203625699159
"ABHD14A",19.7294780517983,5.202694226419,3.09845382249929,2.61982615938641,8.75722506531686,13.1549072670811,3.5984849366203,10.4106890673002
"ABHD14B",0,10.3974400515703,11.5961672987079,4.73596370675146,34.0421018280074,31.8598509858192,0,0
"ABHD15",62.527613515877,15.6641980253047,27.0762175779049,155.622888863197,24.1847586951449,30.80513980468,343.499561013055,139.820407399991
"ABHD16A",36.1242698072276,18.5215346489043,39.5707499847185,68.7515651992948,27.0589668766262,34.8977341184837,26.1449023861006,15.5242652300499
"ABHD16B",2.26959849954162,0,8.42400057912764,0,0.413104576737703,0,24.3690555984065,0
"ABHD17A",0,0,4.08015956318625,0,2.76370100785493,1.77559443701657,8.55961641716776,0
"ABHD17B",11.4895019012925,4.70531122776538,11.9064925871558,8.18929832093598,6.30162253237007,7.84027902911645,11.682799601107,9.73837255852583
"ABHD17C",6.57306952359444,2.47031217035726,0,0,1.69410032318749,1.72258984718962,0.64513396579959,1.50576646191782
"ABHD18",0.362464349453845,0.681024713847016,0.850734789099241,0,1.90501439303505,1.84440752573763,0.247100942864548,0
"ABHD2",0.00588654394289969,3.13895384738203,2.5447552066055,2.34814554151675,3.84650064654583,4.64346101190733,0.556804180318826,2.580551662045
"ABHD3",0.740624005993815,2.69547491824875,8.86626054055374,1.42517687283757,9.5963490087958,8.64048098389164,0.631127207630712,2.49238111273538
"ABHD4",10.7860452920355,6.3510478260893,20.1278231933005,0,16.9056706327056,16.8565547458242,2.31748809513631,11.2814010414813
"ABHD5",16.8844427606366,13.548037458133,14.9459284585832,11.5496522112329,11.5698773623612,11.2144703587861,7.14851637884968,19.8851901440987
"ABHD6",3.58165830508292,2.09125875566568,1.70109539304044,1.54623963445212,3.31252181793921,5.28384716537183,1.19905173838376,0
