"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"GJA10",0,482,71,0,0,0,0,0,0,907,0
"GJA3",0,547,3,105,27,0,0,0,156,1507,1
"GJA4",0,322,0,46,100,7,46,123,36,0,0
"GJA5",0,846,169,123,243,0,14,38,0,655,0
"GJA8",0,326,0,0,0,0,0,0,0,580,0
"GJA9",0,678,0,39,25,75,6,6,0,0,0
"GJB1",0,768,72,0,101,0,0,0,0,610,0
"GJB2",2583,247,2793,2737,177,0,40,9,186,0,736
"GJB3",2,1110,459,1072,0,0,4,17,0,0,93
"GJB4",0,1082,71,1582,28,0,0,0,0,0,65
"GJB5",86,575,220,617,0,0,0,0,0,1239,177
"GJB6",0,595,9100,7306,0,0,10,17,0,0,978
"GJB7",0,648,0,0,0,0,0,2,65,0,0
"GJC1",277,1238,459,338,129,79,142,248,166,682,394
"GJC2",253,647,154,87,33,59,32,100,68,0,188
"GJC3",0,0,39,0,0,7,5,2,49,468,0
"GJD2",0,956,0,0,51,0,0,0,82,0,0
"GJD3",0,831,0,61,210,20,41,58,0,0,0
"GJD4",1159,664,70,0,0,0,0,5,0,0,0
"GJE1",0,699,0,10,37,0,0,0,54,16,0
"GK",1010,683,33,63,229,232,364,140,105,0,31
"GK2",0,603,87,0,50,1,0,0,0,986,0
"GK5",1,597,303,310,813,23,364,455,60,0,166
"GKAP1",2604,1222,0,47,268,0,198,258,0,0,51
"GKN1",0,0,0,0,0,33,2,0,0,6,0
"GKN2",0,0,0,0,74,80,5,0,73,0,0
"GLA",1,851,70,130,426,685,1145,943,347,0,490
"GLB1",1,502,470,421,790,539,1317,1163,181,1140,534
"GLB1L",0,592,104,23,32,29,83,70,112,0,64
"GLB1L2",0,422,0,0,25,66,10,8,90,552,77
"GLB1L3",0,574,77,7,46,85,103,76,450,642,84
"GLCCI1",1,512,63,160,1358,130,1764,1868,276,0,162
"GLCE",1,838,350,208,367,299,84,331,302,478,504
"GLDC",0,1212,153,259,175,0,183,61,164,780,259
"GLDN",5,466,22,0,51,1,7,15,0,1260,179
"GLE1",23,1403,1861,752,1404,2686,2051,2170,5418,253,4363
"GLG1",5,733,942,1850,2550,692,2497,3215,593,123,721
"GLI1",0,713,2,57,87,0,1,15,109,0,0
"GLI2",248,508,120,55,83,0,18,45,81,0,126
"GLI3",0,642,148,133,50,0,21,37,41,0,0
"GLI4",3941,306,82,157,231,462,125,241,0,1127,130
"GLIPR1",0,610,294,1005,2059,2,2361,1663,0,0,0
"GLIPR1L1",0,528,0,3,0,77,0,0,0,338,0
"GLIPR1L2",0,23,111,19,58,0,14,24,0,0,0
"GLIPR2",950,651,388,796,2900,2376,1292,1840,1295,0,767
"GLIS1",1,234,715,128,0,121,4,17,35,0,419
"GLIS2",27,531,45,80,99,125,120,103,91,704,273
"GLIS3",1,485,0,150,268,0,35,88,0,0,0
"GLMN",0,799,0,257,227,0,658,559,101,739,103
"GLMP",0,548,316,289,687,66,600,712,134,687,118
"GLO1",6,782,7314,5778,2194,2731,1295,1830,2542,1008,3295
"GLOD4",0,472,522,529,470,1023,547,633,210,897,311
"GLOD5",0,442,133,0,103,0,0,0,123,480,0
"GLP1R",0,557,129,0,45,33,0,17,0,347,0
"GLP2R",0,458,33,26,27,26,2,13,3,0,187
"GLRA1",818,519,72,0,0,0,0,0,0,822,0
"GLRA2",5,456,41,35,36,111,4,0,24,0,55
"GLRA3",0,563,503,1,80,0,0,0,206,949,118
"GLRB",0,830,0,11,36,0,0,12,0,0,86
"GLRX",0,343,0,82,146,0,80,122,41,0,0
"GLRX2",0,686,266,76,119,38,44,68,297,0,184
"GLRX3",2,604,1200,2662,1048,285,1210,1452,118,230,273
"GLRX5",2168,1104,1005,596,613,568,443,523,891,0,1005
"GLS",2502,637,2041,3925,4586,2186,7185,8283,3432,0,4075
"GLS2",1,916,0,9,35,0,24,19,112,685,0
"GLT1D1",209,1017,414,36,285,657,103,67,356,0,339
"GLT6D1",0,757,0,0,58,0,0,0,0,2134,0
"GLT8D1",1718,737,116,484,1385,131,1222,1308,252,363,557
"GLT8D2",1,7,911,449,160,104,80,264,234,0,1256
"GLTP",0,31,994,3041,216,67,487,501,60,0,115
"GLTPD2",79,321,60,0,14,0,4,0,0,0,0
"GLUD1",0,531,197,37,154,39,100,201,0,672,0
"GLUD1_GLUD2",1,583,845,1179,687,243,1145,1368,32,0,360
"GLUL",1,564,0,74,444,0,247,162,0,1085,117
"GLYAT",3,609,0,0,5,0,0,2,0,0,0
"GLYATL1",0,265,0,23,0,10,0,0,58,0,0
"GLYATL1B",0,370,0,0,13,0,0,0,122,0,0
"GLYATL2",13,830,0,0,83,42,2,9,33,0,0
"GLYATL3",0,745,0,1,39,0,0,0,0,538,101
"GLYCTK",0,489,163,156,210,0,259,292,0,0,0
"GLYR1",1,142,834,387,839,1064,887,1070,609,645,410
"GM2A",1,318,361,1219,831,825,1382,1184,345,0,297
"GMCL1",3,615,247,739,1115,260,1103,847,430,0,561
"GMCL2",0,577,0,0,0,0,0,0,0,0,57
"GMDS",0,469,426,527,656,176,651,967,321,455,866
"GMEB1",0,1,0,420,537,135,729,785,0,0,142
"GMEB2",616,863,233,278,472,0,362,330,181,0,41
"GMFB",1,278,1527,1112,880,775,896,1000,817,605,1125
"GMFG",0,46,1107,277,1100,3510,3087,2689,2156,764,1245
"GMIP",0,25,434,306,1201,1033,840,940,1288,62,871
"GML",1135,563,0,42,44,0,0,0,0,690,0
"GMNC",15,0,123,0,39,0,0,3,0,0,49
"GMNN",1,581,267,284,597,221,426,314,49,1,184
"GMPPA",0,0,1,69,257,0,474,612,0,0,100
"GMPPB",87,592,118,658,570,651,454,884,647,0,601
"GMPR",3702,929,134,72,434,730,182,446,710,816,282
"GMPR2",2,1023,779,291,449,721,733,696,507,294,198
"GMPS",50,2,374,601,497,0,603,494,0,0,102
"GNA11",1,18,160,549,45,42,117,186,0,24,0
"GNA12",0,456,137,285,327,0,460,584,64,0,0
"GNA13",3,697,831,1668,4115,2357,2655,2147,685,868,959
"GNA14",1,492,0,0,105,0,113,199,59,0,0
"GNA15",2212,655,923,1871,640,246,282,215,194,0,418
"GNAI1",0,86,127,173,0,0,24,20,5,0,123
"GNAI2",6,34,4188,2421,4291,11067,6820,9256,3535,0,2799
"GNAI3",0,474,926,880,1453,848,666,820,1645,597,1070
"GNAL",0,272,71,0,0,0,60,77,118,0,0
"GNAO1",0,744,0,23,83,77,59,250,0,325,0
"GNAQ",2,10,985,1240,1212,1293,1221,1839,251,2,395
"GNAS",192,236,5357,8018,11195,4849,12827,17282,2117,1,2374
"GNAT1",2152,416,2,20,0,0,0,0,0,0,93
"GNAT2",0,1003,288,25,33,0,7,0,90,1255,0
"GNAT3",498,1104,59,0,0,0,0,0,0,664,0
"GNAZ",1,829,160,42,80,81,26,44,70,67,21
"GNB1",13,577,6408,4239,4669,5471,5553,6869,5690,399,10584
"GNB1L",1351,1479,0,22,214,0,96,72,28,357,0
"GNB2",2,383,1032,2144,1829,877,2387,2589,231,0,154
"GNB3",474,1192,147,63,89,0,33,136,318,118,22
"GNB4",4,538,1322,2281,3503,2867,1756,2314,669,718,866
"GNB5",0,1,244,124,22,52,197,241,34,0,0
"GNE",0,406,124,157,452,176,246,436,1,611,1
"GNG10",2306,582,1639,1607,3248,3560,1958,1934,2271,0,582
"GNG11",0,752,116,29,81,0,28,53,183,613,8
"GNG12",2,405,356,2787,545,0,222,554,0,0,63
"GNG13",0,243,166,5,47,44,2,0,0,427,0
"GNG14",0,517,0,18,0,0,0,2,0,2,0
"GNG2",3,903,149,296,1641,2270,1599,2096,1223,690,684
"GNG3",1,487,0,0,63,72,2,3,46,0,0
"GNG4",0,470,0,0,0,0,59,6,0,0,0
"GNG5",0,299,1,18,51,0,13,29,65,614,104
"GNG7",0,673,0,18,34,0,53,88,0,0,0
"GNG8",0,486,47,20,39,76,0,29,384,1379,105
"GNGT1",0,876,0,29,26,0,0,0,0,1207,164
"GNGT2",8,1,77,17,758,405,284,515,424,0,92
