"","cell_type","VSCC_5","VSCC_6","VSCC_4","VSCC_1","VSCC_2","VSCC_3","VSCC_7","VSCC_8"
"1","B cell",0.0139639444325646,0.00117378514285013,0.151729676470564,1.15072850173522e-06,0.116253534694603,0.181294823630818,1.47427979220727e-06,0.0248469043315465
"2","Cancer associated fibroblast",0.043083142306496,0.0656276971611672,0.0577724981316424,2.0162989213801e-06,0.0217764065848419,0.00825649119835547,2.55517771263489e-07,0.039011805223068
"3","T cell CD4+",0.0641614379612559,0.0545405525857536,8.9695560372925e-07,9.45406049789004e-10,0.15613919342206,0.0720041642295095,4.02579245237777e-07,0.0571947303963367
"4","T cell CD8+",2.17187454476402e-09,3.02967425494538e-06,1.32648601914798e-06,2.42539157312768e-06,0.00103221013413498,2.92004368948963e-06,8.91766733577831e-08,5.28642265610438e-07
"5","Endothelial cell",0.0163952630943774,0.0244870258055184,0.00480882247691762,3.11757056405104e-08,0.0151357955197759,0.0413223385145722,4.10243655038449e-08,0.0533712693025851
"6","Macrophage",0.0264569571099599,0.00843389869745475,0.340783426177189,0.999993569396242,0.0383183222365703,0.109169993354884,0.999997587890177,0.176193634957021
"7","NK cell",1.30127224855666e-08,1.09333087097563e-08,0.0433802990380174,8.03337364451853e-07,0.000551105967458814,0.00144832366175418,1.48622736009402e-07,0.0278758862538674
"8","uncharacterized cell",0.835939239910749,0.845733999999692,0.401523054264047,2.7262857242336e-09,0.650793431440555,0.586500945366417,9.0923983705024e-10,0.62150524089331
