"","x"
"CD72",2.38036078841859
"RUBCNL",2.38023006878002
"ZNF91",2.37987362500448
"CCDC146",2.37890509319643
"BCL2A1",2.37585298821085
"CD8A",2.37021120274669
"MGAT4A",2.37010305343349
"HNMT",2.36975280678761
"ACVRL1",2.36689794672736
"IL2RG",2.36653643234859
"ELMO2",2.36496945562495
"GMPPA",2.36158266158183
"SRGN",2.35947791434652
"ZNF791",2.35012462754864
"BAG4",2.34984548360469
"CR1",2.34810740350778
"ACP5",2.34639581989105
"SLC12A7",2.34195193656738
"LOC107984832",2.34157545802769
"TYROBP",2.33629535336272
"CD200",2.33563413270666
"BRCC3",2.33532210512051
"KIAA2026",2.33402488030181
"MFSD1",2.33113486949341
"P2RY10",2.32931219568614
"SAMD9L",2.32759418824015
"HACL1",2.3271186134114
"LOC102723407",2.3204972206225
"CXCR3",2.3182323321774
"ZNF718",2.31360801649554
"EAF1",2.30745608790583
"SIGLEC14",2.30729851150887
"CTSW",2.30498429207812
"ATP6V0B",2.30450018009947
"PLEK",2.3027941347968
"SMCO4",2.3017515897769
"FTH1",2.29858809814557
"APOL4",2.28633853336205
"CHRDL1",2.28456032342935
"SLAIN1",2.28149790975964
"L3MBTL4",2.27641695085535
"WDR7",2.27470523357055
"SCIMP",2.27434608881766
"SLC12A3",2.27069194560631
"SCPEP1",2.26742369832759
"ARL17B",2.2674236767299
"TMEM35B",2.2672223585445
"ZNF486",2.26682786498622
"FRY",2.26210734946066
"ATG2A",2.26042491732015
"LIMD2",2.25871494933777
"ZNF680",2.25774161972484
"GLCCI1",2.25579675885364
"CD69",2.24923843184734
"RFX3",2.24308245323372
"DCP2",2.24165141092589
"MEF2C",2.24118217399425
"BTN2A2",2.23725429327988
"SUSD3",2.22963304459633
"CD8B",2.22751877630021
"LMBRD2",2.2268100980354
"GIMAP6",2.22420150494571
"SIGLEC9",2.22407009108704
"DAZAP2",2.22147654756099
"LY96",2.22133378871068
"TFPI2",2.21818516302138
"ELMO1",2.21373382395137
"C12orf4",2.21181373421955
"FCRL1",2.21109532368951
"RNF38",2.21048891897578
"APOC1",2.20674649719194
"OMA1",2.2058080764096
"CD84",2.20523950135902
"ATG14",2.20319465618139
"COP1",2.20155324262445
"INPP4A",2.19544498687745
"H2AC21",2.19483450598179
"GIMAP1",2.19378452122314
"ARHGAP17",2.19214980525898
"CEP350",2.19172246702761
"CSGALNACT2",2.19104618307503
"ZNF512",2.18071963295441
"DNASE2",2.17961263891412
"GASK1B",2.17612686245874
"RALGDS",2.17492021220107
"SMAP2",2.17453492891838
"LRRC8D",2.17053103219387
"LPIN2",2.16670933446575
"ST6GALNAC3",2.16383803250991
"EMID1",2.15756557652589
"PARP1",2.15092308126691
"SEC31B",2.15027037537322
"BTAF1",2.14910884904225
"TMEM128",2.1453677506205
"LONRF1",2.14271964436122
"SLC35E2A_SLC35E2B",2.14138869936118
"GBP4",2.14107377728864
"SPRTN",2.13698177529726
"PHIP",2.13669101850637
"SLC7A7",2.13660921834571
"ABI3",2.13285196221762
"EPB41L3",2.13261043597525
"PRPS1",2.1294905465153
"MAML3",2.12826091256484
"ARSB",2.126673997682
"PPP2R2B",2.1249903571259
"AGFG2",2.12488966125295
"ARHGAP9",2.12390126002807
"FMNL1",2.12184513271859
"CNOT10",2.11952454267032
"GPRC5B",2.11797370514475
"KCTD7",2.11367471756214
"HLA-DPB1",2.11266974303288
"CREG1",2.1099492149668
"SLAMF6",2.10427422283768
"ATM",2.10084310776345
"ID2",2.09910753678367
"CSK",2.09634515846609
"EIF1B",2.09613907451068
"TPCN2",2.09516049037497
"RASGRP2",2.09395522270207
"SNX10",2.09247677707177
"TNIP3",2.09063096551073
"PRELP",2.08568317626116
"RGS3",2.08094364834929
"TTC24",2.07928240349092
"GHDC",2.07858983473411
"CYBC1",2.07657864857573
"LILRA3",2.0757005815933
"OSGEPL1",2.0720345010846
"GZMK",2.07116797364831
"CTDNEP1",2.06964973726829
"SAMSN1",2.06948678455117
"TLR7",2.06559557507422
"GDF11",2.06199465752217
"IDH1",2.05860639351307
"ZNF431",2.05766610038497
"CES1",2.05642219184481
