"","cell_type","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"1","B cell",0.0186062723347382,0.0215394306557535,0.0148127647114392,0.00125988116049721,0.14322811626053,5.76181552595092e-05,0.112789504306971,0.175884607783581,0.000115398817206814,0.0133199049586517,0.0227165064238157
"2","Cancer associated fibroblast",0.00200342419010329,0.00268772069052644,0.0422496971488105,0.0639919211288608,0.0559777470602352,0.00305204793586485,0.0211259172697105,0.00786866234298554,3.98715291408612e-06,0.000971258507454871,0.0377622633594631
"3","T cell CD4+",0.0334805010020403,0.0371826154170035,0.062669463214007,0.0540599410636918,4.91011237394951e-07,2.80991652135149e-05,0.151564370451019,0.0718474417822085,4.38982119334625e-05,0.0537254282271606,0.0546642522464292
"4","T cell CD8+",1.25043029577707e-08,0.0336569398556926,2.66213528690883e-08,9.10401304758487e-07,9.65918747608969e-07,0.00122126370175986,0.00111706273449066,2.61862370423875e-07,4.16352128938427e-05,0.00457912454866815,2.28199393210418e-08
"5","Endothelial cell",0.006814235770105,0.0489733461628904,0.0149575995012497,0.0240670281220704,0.0103354955899896,0.0918880791842578,0.0147061999436249,0.0395740301132195,5.65765643578985e-05,0.0186589154087458,0.0524528732812166
"6","Macrophage",0.0162430549549829,0.00586945428562772,0.0258501754644365,0.00818843445103689,0.330519451479028,0.902395244930491,0.0371762195385305,0.105800187363909,0.999734250142921,0.0264444232448006,0.170344504392977
"7","NK cell",0.00766428449606661,0.00174496069389952,2.30112073968214e-09,6.4454616737323e-08,0.0425455007662759,0.00134285540207965,0.000530212670184561,0.00116178103066964,4.25350085594158e-06,2.84081450752992e-09,0.0271954187732424
"8","uncharacterized cell",0.915188214747661,0.848345532238606,0.839460271037583,0.848431819217921,0.417392231913956,1.47915250742944e-05,0.660990513085469,0.597863027721057,3.96916804551993e-10,0.882300942263704,0.634864158702917
