"","x"
"1116",5.98198908256076
"149233",4.700930020163
"6696",4.44839437137354
"10863",4.38885689678623
"3604",4.07454457246381
"1593",3.74868599708769
"6363",3.71644366603657
"4069",3.58936996864038
"10537",3.54387734338317
"115352",3.37411251893454
"2357",3.36217645618899
"387357",3.3544349505716
"3936",3.1593556414173
"55340",3.10237907896814
"4332",3.05584796890118
"931",2.99767261445555
"7941",2.98880168555337
"56833",2.98523820017851
"2517",2.93278455685433
"3101",2.91606138517513
"1536",2.86634074721986
"3117",2.84614050631445
"10320",2.78502954236418
"81552",2.7239856884433
"5641",2.70928457240736
"9404",2.70557426632889
"5730",2.70244266552239
"83641",2.69120139091695
"115362",2.62946523497277
"91526",2.62330887642457
"29121",2.59645974325788
"10875",2.58769961290339
"3109",2.58239786310594
"9672",2.55094030580515
"4283",2.54650683878184
"1545",2.54579637509001
"57823",2.5313707272783
"5660",2.4994083053402
"7805",2.47260793620751
"10261",2.46169947534932
"567",2.44947677380083
"313",2.44063892139297
"3820",2.44014555293834
"10791",2.43707025418833
"3718",2.40835868481439
"51752",2.40160334426541
"427",2.38496609852459
"23312",2.37990892958904
"952",2.36261836332976
"51316",2.34578929609501
"5788",2.33943389568846
"120892",2.32800080944985
"915",2.30815236587343
"7099",2.30814132120042
"285195",2.24770041908153
"968",2.24652102494636
"3176",2.22100531418388
"54981",2.21765895855911
"5552",2.20491209665762
"710",2.19417956320376
"3988",2.18078613822031
"1520",2.1614653047169
"7305",2.14654069105165
"1240",2.1458930638484
"115209",2.12464833455261
"10461",2.1221640106477
"972",2.10704019113352
"9214",2.09942716257012
"84636",2.09823529264525
"23048",2.0706491160576
"100506144",2.06936036348366
"56935",2.06050727676729
"967",2.04838661471002
"83416",2.03002715318089
"3119",2.01257569767207
"1236",2.01138754716488
"5341",2.0103561620216
"51311",1.99205827229178
"64333",1.9795082840328
"3631",1.97292261397048
"2124",1.96790550902709
"64759",1.95972777892129
"79368",1.91934519136851
"2495",1.91839102534279
"3115",1.91359416569015
"4063",1.91205106408948
"165631",1.90754627170993
"10563",1.90569417441719
"118788",1.90000782270748
"81622",1.88734924768033
"64744",1.87824659796258
"8832",1.87244611510182
"23136",1.86141695992034
"64747",1.83676238147887
"864",1.82465351144296
"474344",1.81863233718773
"9595",1.81468983398288
"29887",1.81445807704662
"286336",1.81295921284662
"3603",1.81292282807738
"4046",1.77680590400323
"80833",1.76394017908047
"3398",1.76093000783417
"9459",1.74731014014018
"4668",1.74728465783913
"63892",1.7449108696185
"102723407",1.73495310689066
"472",1.72978764858985
"56271",1.71177877050019
"64092",1.71061456063361
"100506736",1.71031536792341
"3394",1.70887968096648
"56990",1.70692885539283
"10924",1.70418532876603
"2799",1.70298503403648
"23484",1.70234460359342
"11309",1.69856102933975
"7940",1.68146307190545
"113263",1.67413995183334
"59342",1.6730558241606
"8635",1.66943837988354
"7456",1.66942621633486
"79415",1.66309455511061
"90416",1.65525826273602
"55303",1.63232098424967
"2207",1.63138860530125
"440515",1.62987050883984
"963",1.62984024585457
"64112",1.62535069118118
"55196",1.62330666925087
"9663",1.62237124513667
"103",1.62145894368274
"80216",1.6207269827546
"7127",1.61936659803183
"94039",1.60803036962564
"1117",1.60731869917082
"7769",1.60344271837828
"1445",1.59678077971003
"9839",1.59621857887295
"9235",1.59411007078329
"10260",1.58433380680205
"3126",1.5798376409522
"10866",1.5781267736683
"10938",1.56322324572403
"8477",1.56248754688275
"8773",1.56078676342224
"26090",1.55969997375486
"4154",1.55883113547551
"26469",1.5573011774819
"54900",1.55338793630868
"22900",1.53757512021196
"6402",1.5278999687726
"2936",1.52590646141234
"80380",1.52574064611623
"23240",1.51770211159925
"22889",1.5116762532687
"54",1.51061229273067
"3001",1.50952693587573
"1509",1.50703046316397
"153222",1.50657645066392
"84987",1.50098386878527
"3003",1.48852490831045
"3073",1.48678537802682
"80267",1.48061772489486
"4125",1.46594752444389
"25953",1.46168836850121
"4074",1.4605373242333
