"","x"
"GPR171",1.3039309590029
"SH2D2A",1.29708016519054
"CD52",1.29408628057563
"PNRC2",1.28544925663547
"RABGAP1L",1.26177804509354
"TMEM176A",1.25608913146586
"SARAF",1.25013960639078
"ATP6AP1",1.24938935110008
"TBC1D5",1.24736903350138
"SEPTIN6",1.2459831517013
"KCNJ2",1.24508484715299
"AKAP8L",1.24281272604378
"ZMAT3",1.24083290119886
"IL2RA",1.23820985365554
"ASB3_GPR75-ASB3",1.23644113510795
"CP",1.2358819198194
"PSMB9",1.2161916378477
"JAML",1.21292957242891
"RAD51B",1.20870063554351
"SPI1",1.20520809391625
"BATF",1.20190109561369
"DNAJB9",1.19570116305545
"ITPR1",1.1931024939773
"NFATC2",1.192175755186
"STX7",1.19009608288975
"PPP1R16B",1.18974850115942
"LYSMD2",1.18855144366082
"CDC14A",1.18496572452747
"PSD4",1.18481459376794
"GBP4",1.18092554809517
"BIRC3",1.17917224791051
"IRF2",1.17589326950286
"DAPK1",1.17521323651928
"DDX6",1.17059277541383
"CD247",1.16794048926035
"TFEC",1.16658447675736
"DGLUCY",1.1631209704985
"IL18BP",1.16299820337124
"FCHSD2",1.16002554371221
"LCP2",1.15822614161075
"PILRA",1.15787900768681
"SH3BGRL",1.15570424648754
"ARHGAP4",1.14812331325984
"LIME1",1.14803520948392
"NCF1",1.14460342161676
"KIF21B",1.14078953573208
"SMARCAD1",1.13428706037262
"TMEM176B",1.13179769237829
"CTSB",1.13173499349326
"SVEP1",1.13090812779169
"SLA2",1.12919268168275
"TMBIM4",1.12463984829124
"KLHDC3",1.12312367092624
"MPDU1",1.12176514004842
"SCAF4",1.10845960559865
"FGD2",1.09908501840049
"SECTM1",1.09881985535629
"KCNMA1",1.09166382876748
"ARMC7",1.08683993193213
"CYB561D2",1.08562607330327
"TMEM138",1.07455820244874
"PPP6R1",1.0728763312409
"TRIM22",1.0699423712211
"RC3H1",1.06631268973675
"IFITM1",1.06295494906073
"IFI30",1.06231767563517
"MED23",1.05858196981506
"USP4",1.0567627504562
"APOBEC3F",1.05603926365472
"RGS3",1.05575071002628
"VPS11",1.05314813316067
"GCC2",1.04752376323241
"TUT4",1.04611121755523
"VEGFB",1.04046993980591
"MVP",1.03849584184434
"ANP32E",1.03844571227
"SP3",1.03582272339253
"GRB2",1.03274228274882
"FUS",1.03188413268759
"CEPT1",1.02366988095855
"DAZAP2",1.02043466206268
"DMTF1",1.01860252358896
"APOE",1.0185270376928
"USP11",1.00727630410202
"PREX1",1.00667946587529
"NAAA",1.00610220863757
"SENP7",1.0043233568083
"PLEKHB2",1.00388807397003
"MPEG1",1.00136248757015
