"","x"
"ZNF91",2.38038244689436
"RUBCNL",2.3802589613855
"CD72",2.37984267455534
"CCDC146",2.37784400798742
"BCL2A1",2.37575724539752
"CD8A",2.36994963684825
"HNMT",2.36935250873458
"MGAT4A",2.36932462147805
"ACVRL1",2.3668452636615
"IL2RG",2.3661873963211
"ELMO2",2.36566566745795
"GMPPA",2.36101319031393
"SRGN",2.35908004623726
"ZNF791",2.35038303232458
"BAG4",2.34999590579225
"CR1",2.34800208926494
"ACP5",2.3461785562235
"SLC12A7",2.34208916168891
"LOC107984832",2.34166811473492
"TYROBP",2.3359503369658
"CD200",2.33571790482174
"BRCC3",2.33492523884651
"KIAA2026",2.334698934232
"MFSD1",2.33120289411492
"P2RY10",2.3290207282693
"SAMD9L",2.32735414061412
"HACL1",2.32701934647963
"LOC102723407",2.3196502167421
"CXCR3",2.31828663421753
"ZNF718",2.31295382061468
"EAF1",2.30787661266873
"SIGLEC14",2.30658240543025
"ATP6V0B",2.30508697469257
"CTSW",2.30477833790151
"PLEK",2.30248938348793
"SMCO4",2.30145239677792
"FTH1",2.29864073581195
"APOL4",2.28658886931905
"CHRDL1",2.28422804654755
"SLAIN1",2.28132806744441
"L3MBTL4",2.27720048889101
"WDR7",2.27439146840309
"SCIMP",2.27381170779718
"SLC12A3",2.27043385425088
"ARL17B",2.26785438441469
"SCPEP1",2.26733829551371
"TMEM35B",2.26710191604741
"ZNF486",2.26673545196853
"FRY",2.26224336836845
"ATG2A",2.2603469836206
"LIMD2",2.25860520628499
"ZNF680",2.2566473436034
"GLCCI1",2.25526879644037
"CD69",2.24938115190099
"RFX3",2.24247660948886
"DCP2",2.24207391136055
"MEF2C",2.24039677225994
"BTN2A2",2.23664531538564
"SUSD3",2.22934886389868
"CD8B",2.2272490686647
"LMBRD2",2.22685254758499
"GIMAP6",2.22376999739369
"SIGLEC9",2.22372410311139
"DAZAP2",2.22189803219321
"LY96",2.22113527710035
"TFPI2",2.21807078987239
"ELMO1",2.21285751292737
"C12orf4",2.21191422022443
"RNF38",2.21129456589154
"FCRL1",2.21067705807354
"APOC1",2.20591158449476
"OMA1",2.20549172025256
"CD84",2.20480154134129
"ATG14",2.20334447700085
"COP1",2.20213947860919
"INPP4A",2.19544111332523
"H2AC21",2.19514771600345
"GIMAP1",2.19348094430563
"ARHGAP17",2.19255654764894
"CEP350",2.19193187926593
"CSGALNACT2",2.19155240294265
"ZNF512",2.18116966810723
"DNASE2",2.17972071432693
"GASK1B",2.17656758662832
"RALGDS",2.17503251785595
"SMAP2",2.17429013242095
"LRRC8D",2.17085157203112
"LPIN2",2.16667203773401
"ST6GALNAC3",2.16328133892392
"EMID1",2.15726445956489
"PARP1",2.15097528247127
"SEC31B",2.15030616415199
"BTAF1",2.14927798155831
"TMEM128",2.1452735897759
"LONRF1",2.14253165318502
"SLC35E2A_SLC35E2B",2.14139942154333
"GBP4",2.1413887983117
"SPRTN",2.13758442295578
"PHIP",2.13688374674712
"SLC7A7",2.13594328339763
"ABI3",2.13262632983929
"EPB41L3",2.13210173730611
"PRPS1",2.13040481785235
"MAML3",2.12880973471996
"ARSB",2.12703600413189
"AGFG2",2.125271499723
"PPP2R2B",2.12467346983608
"ARHGAP9",2.12351087157772
"FMNL1",2.12178254762668
"CNOT10",2.11953295839924
"GPRC5B",2.11752415927788
"KCTD7",2.11371536485457
"HLA-DPB1",2.11247679856881
"CREG1",2.1101231861016
"SLAMF6",2.10370241608196
"ATM",2.10041563579707
"ID2",2.09894445405976
"CSK",2.09654186375265
"EIF1B",2.09581353633671
"TPCN2",2.09517933965409
"RASGRP2",2.09367477342852
"SNX10",2.09218151412307
"TNIP3",2.09029361428378
"PRELP",2.08552880538655
"RGS3",2.08044152368309
"TTC24",2.07901111243569
"GHDC",2.07885722892139
"CYBC1",2.07649585169556
"LILRA3",2.07567761572607
"OSGEPL1",2.0720700645047
"GZMK",2.07064695684135
"CTDNEP1",2.07032972621256
"SAMSN1",2.0687195167826
"TLR7",2.06465379611254
"GDF11",2.06189589128977
"IDH1",2.05849039632479
"ZNF431",2.05815725580545
"CES1",2.0563473279831
"ARAP2",2.05408998581652
"RALGPS2",2.05372388504055
"ANAPC16",2.05268584115342
"GSR",2.05035302968621
"CYTIP",2.04737974870416
"FCER1G",2.04721836912317
"GPR65",2.04546475580552
"KCNJ2",2.0445802437414
"JCHAIN",2.04448269692417
"PRDM8",2.04267215566348
"SELENOP",2.03922918489944
"BCL11B",2.03700834671987
"RNASET2",2.03576879945429
"SUMO2",2.03477749344721
"SLFN12L",2.03413486985055
"TFEC",2.03075088455803
"ZBTB37",2.03001706295231
"RESF1",2.02883579432666
"IRF4",2.02705810385501
"TCEANC2",2.02232429098854
"GALC",2.01897173070323
"HS3ST3B1",2.01749269953187
"CTSD",2.01570532451074
"TMC8",2.01524668913805
"SETDB1",2.01442199144624
"FNTA",2.01342322390768
"NAGA",2.01179109538032
"IL16",2.01020220119062
"KHDC4",2.00824402793825
"TOX2",2.00738187115447
"LSP1",2.00497025272677
"GIMAP4",2.00324559453407
"ST3GAL5",2.00276533749172
"STS",2.00190935268772
"MBNL1",2.00037145635965
"MYO1F",1.99877866338772
"KLRD1",1.99684207098433
"ZNF555",1.99581539818078
"SLC31A2",1.9949554585464
"ZNF322",1.99494383177758
"ARRB2",1.99489032042275
"SLC39A8",1.99047017634667
"SLC20A1",1.9866771803744
"LOC107985082",1.98564661408073
"GPR171",1.98421454425985
"GNS",1.9839225475833
"LAX1",1.98307490529564
"SELL",1.98156196286119
"C1orf54",1.9761069117616
"GPR160",1.97494902170345
"ZNF510",1.97399192133449
"TMEM109",1.97270384258364
"ZNF506",1.97226785210674
"RINL",1.97152538313484
"CDC42SE2",1.96883148233841
"AHI1",1.96717296782006
"SNRPN_SNURF",1.96306292772042
"AKR1B1",1.96252293764429
"SVEP1",1.96210646732065
"FAM8A1",1.95894223292808
"PRKACB",1.95827719274189
"SEC22B",1.95816358730908
"ZNF226",1.95615166847479
"LCORL",1.95585294741221
"ZNF227",1.95426951138438
"EIF4EBP3",1.95309085865512
"PAQR8",1.95188962033984
"NAA30",1.95119061115795
"ALOX5",1.94658837742532
"HERC5",1.94331858162019
"FBXO33",1.94282836839123
"APOE",1.94191034642351
"LY75",1.94078877948146
"DNAJC16",1.93744615517289
"CSTF2T",1.93366882875192
"HELZ",1.93133536752356
"ZMAT1",1.92985836882859
"WIPF1",1.92788877119246
"IFNG",1.92780299814803
"PDIK1L",1.92764211977221
"TMEM131L",1.92690265808321
"DBT",1.92649499380437
"APOL3",1.92501849817049
"P2RX5",1.92411715110734
"SLCO2B1",1.92281782081675
"ZBTB25",1.92035859623332
"TRIM66",1.91816632532302
"LGALS8",1.91766840691283
"NEU3",1.9164650526011
"MOAP1",1.91643112775047
"ZNF101",1.91098105973019
"ARHGAP10",1.90942997713952
"ZNF559",1.90881906591079
"KLF12",1.9083791598026
"BEX4",1.90835997930743
"CD3G",1.90624645145194
"EDEM3",1.90533608291931
"SIGLEC11",1.90502478175629
"ZEB2",1.90268535313679
"ALPK1",1.90194815968406
"ADAR",1.89784196062991
"NCF1",1.89766962027135
"FCHSD2",1.89723238259206
"IL15RA",1.89692875294886
"LY75-CD302",1.89645820031411
"CHAMP1",1.89590690527043
"LAP3",1.89429641170226
"TTYH2",1.89422034307264
"CD86",1.89343624149414
"CD52",1.89246174209936
"PDE4B",1.89153675567474
"PLIN2",1.89143066493521
"LEPROTL1",1.8903350997391
"CD7",1.88969913455936
"NANS",1.88935263458745
"KIF21B",1.88839840463043
"RAD51B",1.88405574207631
"ABI3BP",1.88296005058654
"FAM122C",1.88196322813047
"LOC107984203",1.88187441709351
"SMPDL3A",1.87915398155398
"ARL4C",1.87846141044023
"NRN1",1.87557683864119
"HCP5",1.8743582566899
"ZHX1-C8orf76",1.87252823966614
"COMMD10",1.87175290850525
"IRF8",1.87089416694581
"VDAC3",1.86910965451126
"CARD8",1.86744377026929
"TRAF3",1.86565363309201
"ARHGEF18",1.86521619995352
"C1QB",1.86420586540699
"HEMK1",1.86414278862094
"DENND4A",1.86338138204743
"LNPEP",1.86205026158234
"PPP1R16B",1.85895966778877
"VPS13C",1.85266966490499
"SACM1L",1.85168751391789
"S1PR3",1.8510424559091
"ZXDA",1.85088585561028
"CHMP7",1.84204531196313
"FRYL",1.84093064475848
"ITGB2",1.83834376359125
"PMPCB",1.83760785563157
"ZBTB8OS",1.83577861570442
"PLBD1",1.83345756993726
"ATP7A",1.83294212725273
"NFAM1",1.83110820372093
"MPND",1.82668435850316
"TBX21",1.82116493622167
"CCDC32",1.8205762165164
"CYTH1",1.8196315179972
"JADE2",1.81928130437861
"ARHGAP22",1.81876099387667
"LST1",1.81671013661235
"GRB2",1.81507715250288
"THAP12_CLPX",1.81074621851311
"SEPTIN6",1.80997445554799
"ZMYM3",1.80930126661304
"NAGK",1.80635236303471
"CARD16",1.8058985717194
"DMTF1",1.8056671685895
"PDCD1LG2",1.80252754246708
"SH3BGRL",1.80219528992469
"SLC25A32",1.80098011467585
"CD99L2",1.7996304633664
"FAM213B",1.79745056046714
"STIMATE_STIMATE-MUSTN1",1.79637866957914
"ARMC7",1.79330595432417
"PARN",1.79174812633862
"EHD1",1.79039208843145
"NGLY1",1.78952920088351
"PLCL1",1.7883103191578
"MAP3K5",1.78828339458336
"PILRB",1.78736740347865
"RAMP3",1.78560974826312
"COMMD5",1.78448055315985
"ICAM1",1.78239697471056
"SNAP23",1.77892283421506
"USP11",1.77876865978656
"LSM2",1.7758478756423
"DNASE1L3",1.77436774385922
"AIP",1.77354343211688
"RABGAP1L",1.77244692681887
"PAN2",1.76883361642818
"TBXAS1",1.76615693094658
"HHEX",1.76599919912334
"CD79B",1.76572799311393
"ZMAT3",1.76558645191747
"IFNAR1",1.76434934851629
"TSPAN33",1.76341238609186
"CEP128",1.76186710687096
"RPS6KA3",1.75991414813449
"SH2B2",1.75854622191927
"PDE12",1.7583157355237
"MFSD14A",1.7569213368042
"C16orf54",1.75614888955219
"SMG1",1.75556114879891
"PNRC2",1.75473223334275
"ARL14EP",1.75360463447442
"DOCK11",1.75244744609354
"ABHD12",1.75083844878943
"MIS18BP1",1.74962751191274
"LCP2",1.74791758425738
"BORCS6",1.74685100605059
"CDS2",1.74569907323331
"THUMPD1",1.73970416738433
"DNAJB9",1.73795788718681
"PNMA3",1.73555591112984
"TMEM138",1.73249527959274
"LXN",1.7308304893485
"ZKSCAN4",1.72852949084969
"WASHC3",1.72605366265296
"ANKRD12",1.72422920178203
"OTULIN",1.72238358668868
"CYBRD1",1.7221591089126
"GRIPAP1",1.72094571373639
"GNE",1.72089962675535
"TNFAIP8",1.72029531785785
"ATOX1",1.72016749513117
"PDE7B",1.71843729177606
"PTPN18",1.71788128976884
"PIK3IP1",1.71654938399729
"IL32",1.71561249035638
"XPC",1.71473033322868
"ESCO1",1.71329375866626
"PNISR",1.71284313291237
"LEMD3",1.71182608749396
"PSMB9",1.71040284735554
"GEMIN6",1.70917729587726
"AP3S2",1.70796500810548
"C4A",1.70516874697498
"PPP1R8",1.70337122028056
"NAIP",1.70270996450092
"CFH",1.70168569087271
"GBP1",1.70145199979445
"PILRA",1.69864520897764
"SMARCC2",1.69764745508919
"TNFAIP2",1.69694042777769
"ABRACL",1.69672859455565
"CCAR1",1.69427917598766
"SIKE1",1.69412825633793
"PTCD2",1.6931192213185
"JAML",1.6905006483544
"MTHFD2",1.68907841452103
"SYTL3",1.6889632554243
"DDHD1",1.68706769979961
"BCOR",1.6865773398929
"HEXA",1.68628388457426
"CD22",1.68543376470859
"SERINC1",1.68471647368235
"FAM134B",1.68350767037753
"TOMM40L",1.68307114700715
"HYI",1.6828052522415
"AKAP8L",1.68256391625348
"PNKD",1.68156535194096
"C6orf89",1.68127473763902
"SUOX",1.67810320451692
