"","x"
"1116",6.83609927138385
"3604",5.72681719594205
"10863",5.50178459542143
"149233",5.45806286882032
"6696",5.03177287519247
"387357",4.79581962832193
"1593",4.65379078806165
"4068",4.35301690850284
"10320",4.31412255731952
"22806",4.24136432412316
"6363",4.14436361327811
"27299",4.07656325625908
"4332",4.00294416694303
"4354",3.9295832333708
"10537",3.88392117766091
"4069",3.84693876965264
"2123",3.8425169981904
"115352",3.81109321622542
"3820",3.78494029267359
"9034",3.76844583420526
"1796",3.76426148149749
"640",3.75530780809388
"83938",3.73858176499667
"79368",3.72861342080454
"719",3.71748179508546
"2209",3.69900188157609
"5918",3.68409984583892
"6366",3.66570596570134
"91526",3.66137595773674
"2357",3.62200888299548
"55340",3.54460786517518
"3101",3.51079578277928
"1545",3.49947234804362
"10461",3.47599758712595
"6248",3.45901900587098
"10875",3.43428749778906
"931",3.42466625834928
"3002",3.38168432328368
"51752",3.34477869305383
"1675",3.32382010694122
"2517",3.28792355244653
"7941",3.27524746201319
"140564",3.26992995129917
"23598",3.24441667450128
"3936",3.22175762464864
"83641",3.19631978523727
"54020",3.17421380943067
"56833",3.16740700762073
"9753",3.16701300511817
"55655",3.16313439103005
"1380",3.14755500048667
"665",3.13968000632169
"9672",3.12861528639755
"54893",3.10421742652615
"10623",3.09841697514995
"79370",3.09305521224643
"115677",3.07048686407361
"59307",3.06768044714777
"4283",3.06486526470668
"29121",3.05784209477723
"4481",3.05567303660542
"3117",3.03592676979776
"1536",3.03336269012785
"7544",3.03218746005181
"5190",3.02654357667366
"83416",3.00953993354313
"9404",3.00635497420457
"160364",2.99335334772399
"54557",2.98956426887147
"2672",2.98584892252523
"3001",2.97685405747892
"3708",2.96268656531588
"23225",2.9592982870213
"9938",2.95920923736453
"9750",2.95851188361787
"55843",2.95112468947744
"5730",2.93586626296032
"915",2.92366206770576
"10261",2.92295423088213
"3988",2.92276083706643
"963",2.91799190533961
"286336",2.91360690954232
"130916",2.91217225196468
"115362",2.90738133407862
"11182",2.89854228507836
"1519",2.89591298530287
"5641",2.8861987756532
"5771",2.87989382225983
"10326",2.86945848765161
"10563",2.85408185841605
"3695",2.85309264587583
"8556",2.84538108691064
"3105",2.84379232979202
"23315",2.84268972584308
"1512",2.83695469979899
"81552",2.83390167652035
"285195",2.80969956546864
"151888",2.80895860262309
"84824",2.80026290638196
"51316",2.78735378581765
"8284",2.78584249548869
"947",2.77584548481327
"51176",2.76757230179693
"6932",2.76744041638697
"567",2.76504020073588
"50485",2.75847112024476
"1230",2.75251526348702
"81605",2.74467980267541
"9047",2.73780712560089
"3718",2.73513977012475
"1236",2.73383941698584
"695",2.73156036423555
"1356",2.73146139389909
"203100",2.72871040529205
"952",2.72439962694435
"3902",2.72431397008903
"5226",2.71016379029292
"259292",2.6886799141227
"313",2.68134441141098
"9397",2.67714119500497
"85313",2.67139281309933
"6504",2.66881161581748
"5660",2.66703797141913
"1240",2.6625913147809
"7805",2.66105272942504
"348378",2.65626354237703
"5788",2.65308427700682
"79600",2.65291560397462
"10982",2.64907074955207
"1379",2.64425171890815
"864",2.6429134272541
"3109",2.64005399526642
"58480",2.63583782181148
"57107",2.63468527350695
"10347",2.63454841256726
"57823",2.63203174823929
"940",2.63112276063389
"120892",2.62274430249874
"23312",2.61802742119477
"27314",2.61641960081539
"23585",2.61146843169618
"10007",2.60486669242646
"126017",2.60123573109552
"10219",2.59579429317107
"10673",2.59295333899339
"55016",2.58866652227122
"7099",2.58282661546724
"27341",2.58178412359641
"353088",2.5795794218336
"54981",2.57725178604806
"6948",2.57176051813888
"747",2.56833733653219
"10791",2.56440715773293
"84314",2.55851437774766
"972",2.554922282872
"2811",2.55395644552027
"10449",2.55098222511367
"427",2.54725141808344
"169355",2.54665534098658
"79161",2.54211268491021
"3738",2.54120812624292
"140700",2.5393812410551
"9236",2.5374151886877
"3004",2.53278625865138
"56160",2.52719454227261
"4242",2.52561736190542
"10302",2.52378949728989
"4863",2.52118740057485
"23048",2.51987202177928
"51365",2.5165304786135
"84636",2.51255832151544
"2124",2.50263007818834
"9854",2.50164217820589
"118788",2.4991405284681
"63892",2.49371416754051
"9459",2.48945767174237
"9214",2.48527631384481
"25981",2.47897488016825
"643",2.4654971326897
"165631",2.45023774551446
"6003",2.44360995580919
"51311",2.44154587225743
"4063",2.43890705515824
"81622",2.4386953096402
"106707243",2.43393485275235
"168455",2.42991554075679
"93129",2.42881020548255
"3125",2.42707062850881
"167153",2.42652240264838
"54432",2.42382725336236
