"group","N","Observed","Expected","O.E.2.E","Chisq","p_value"
"KDM5D_mRNA_expression=High",107,35,57.7503937955156,8.96237036380567,14.8213304210747,0.000118191098762096
"KDM5D_mRNA_expression=Low",206,115,92.2496062044844,5.61065178645581,14.8213304210747,0.000118191098762096
