"","cell_type","TCGA-4P-AA8J","TCGA-BA-4074","TCGA-BA-4075","TCGA-BA-4076","TCGA-BA-4077","TCGA-BA-4078","TCGA-BA-5151","TCGA-BA-5152","TCGA-BA-5153","TCGA-BA-5555","TCGA-BA-5556","TCGA-BA-5557","TCGA-BA-5558","TCGA-BA-5559","TCGA-BA-6868","TCGA-BA-6869","TCGA-BA-6870","TCGA-BA-6871","TCGA-BA-6872","TCGA-BA-6873","TCGA-BA-7269","TCGA-BA-A4IF","TCGA-BA-A4IG","TCGA-BA-A4IH","TCGA-BA-A4II","TCGA-BA-A6D8","TCGA-BA-A6DA","TCGA-BA-A6DB","TCGA-BA-A6DD","TCGA-BA-A6DE","TCGA-BA-A6DG","TCGA-BA-A6DI","TCGA-BA-A6DJ","TCGA-BA-A6DL","TCGA-BA-A8YP","TCGA-BB-4217","TCGA-BB-4223","TCGA-BB-4224","TCGA-BB-4225","TCGA-BB-4227","TCGA-BB-4228","TCGA-BB-8596","TCGA-BB-8601","TCGA-BB-A5HU","TCGA-BB-A5HY","TCGA-BB-A5HZ","TCGA-BB-A6UM","TCGA-BB-A6UO","TCGA-C9-A47Z","TCGA-C9-A480","TCGA-CN-4722","TCGA-CN-4723","TCGA-CN-4725","TCGA-CN-4726","TCGA-CN-4727","TCGA-CN-4728","TCGA-CN-4729","TCGA-CN-4730","TCGA-CN-4731","TCGA-CN-4733","TCGA-CN-4734","TCGA-CN-4735","TCGA-CN-4736","TCGA-CN-4737","TCGA-CN-4738","TCGA-CN-4739","TCGA-CN-4740","TCGA-CN-4741","TCGA-CN-4742","TCGA-CN-5355","TCGA-CN-5356","TCGA-CN-5358","TCGA-CN-5359","TCGA-CN-5360","TCGA-CN-5361","TCGA-CN-5363","TCGA-CN-5364","TCGA-CN-5365","TCGA-CN-5366","TCGA-CN-5367","TCGA-CN-5369","TCGA-CN-5370","TCGA-CN-5373","TCGA-CN-5374","TCGA-CN-6010","TCGA-CN-6011","TCGA-CN-6012","TCGA-CN-6013","TCGA-CN-6016","TCGA-CN-6017","TCGA-CN-6018","TCGA-CN-6019","TCGA-CN-6020","TCGA-CN-6021","TCGA-CN-6022","TCGA-CN-6023","TCGA-CN-6024","TCGA-CN-6988","TCGA-CN-6989","TCGA-CN-6992","TCGA-CN-6994","TCGA-CN-6995","TCGA-CN-6996","TCGA-CN-6997","TCGA-CN-6998","TCGA-CN-A497","TCGA-CN-A498","TCGA-CN-A499","TCGA-CN-A49A","TCGA-CN-A49B","TCGA-CN-A49C","TCGA-CN-A63T","TCGA-CN-A63U","TCGA-CN-A63V","TCGA-CN-A63W","TCGA-CN-A641","TCGA-CN-A642","TCGA-CN-A6UY","TCGA-CN-A6V1","TCGA-CN-A6V3","TCGA-CN-A6V6","TCGA-CN-A6V7","TCGA-CQ-5323","TCGA-CQ-5324","TCGA-CQ-5325","TCGA-CQ-5326","TCGA-CQ-5327","TCGA-CQ-5329","TCGA-CQ-5330","TCGA-CQ-5331","TCGA-CQ-5332","TCGA-CQ-5333","TCGA-CQ-5334","TCGA-CQ-6218","TCGA-CQ-6219","TCGA-CQ-6220","TCGA-CQ-6221","TCGA-CQ-6222","TCGA-CQ-6223","TCGA-CQ-6224","TCGA-CQ-6225","TCGA-CQ-6227","TCGA-CQ-6228","TCGA-CQ-6229","TCGA-CQ-7063","TCGA-CQ-7065","TCGA-CQ-7068","TCGA-CQ-7069","TCGA-CQ-7071","TCGA-CQ-7072","TCGA-CQ-A4C6","TCGA-CQ-A4C7","TCGA-CQ-A4C9","TCGA-CQ-A4CA","TCGA-CQ-A4CB","TCGA-CQ-A4CD","TCGA-CQ-A4CE","TCGA-CQ-A4CG","TCGA-CQ-A4CH","TCGA-CQ-A4CI","TCGA-CR-5243","TCGA-CR-5247","TCGA-CR-5248","TCGA-CR-5249","TCGA-CR-5250","TCGA-CR-6467","TCGA-CR-6470","TCGA-CR-6471","TCGA-CR-6472","TCGA-CR-6473","TCGA-CR-6474","TCGA-CR-6477","TCGA-CR-6478","TCGA-CR-6480","TCGA-CR-6481","TCGA-CR-6482","TCGA-CR-6484","TCGA-CR-6487","TCGA-CR-6488","TCGA-CR-6491","TCGA-CR-6492","TCGA-CR-6493","TCGA-CR-7364","TCGA-CR-7365","TCGA-CR-7367","TCGA-CR-7368","TCGA-CR-7369","TCGA-CR-7370","TCGA-CR-7371","TCGA-CR-7372","TCGA-CR-7373","TCGA-CR-7374","TCGA-CR-7376","TCGA-CR-7377","TCGA-CR-7379","TCGA-CR-7380","TCGA-CR-7382","TCGA-CR-7383","TCGA-CR-7385","TCGA-CR-7386","TCGA-CR-7388","TCGA-CR-7389","TCGA-CR-7390","TCGA-CR-7391","TCGA-CR-7392","TCGA-CR-7393","TCGA-CR-7394","TCGA-CR-7395","TCGA-CR-7397","TCGA-CR-7398","TCGA-CR-7399","TCGA-CR-7401","TCGA-CR-7402","TCGA-CR-7404","TCGA-CV-5430","TCGA-CV-5431","TCGA-CV-5432","TCGA-CV-5434","TCGA-CV-5435","TCGA-CV-5436","TCGA-CV-5439","TCGA-CV-5440","TCGA-CV-5441","TCGA-CV-5442","TCGA-CV-5443","TCGA-CV-5444","TCGA-CV-5966","TCGA-CV-5970","TCGA-CV-5971","TCGA-CV-5973","TCGA-CV-5976","TCGA-CV-5977","TCGA-CV-5978","TCGA-CV-5979","TCGA-CV-6003","TCGA-CV-6433","TCGA-CV-6436","TCGA-CV-6441","TCGA-CV-6933","TCGA-CV-6934","TCGA-CV-6935","TCGA-CV-6936","TCGA-CV-6937","TCGA-CV-6938","TCGA-CV-6939","TCGA-CV-6940","TCGA-CV-6941","TCGA-CV-6942","TCGA-CV-6943","TCGA-CV-6945","TCGA-CV-6948","TCGA-CV-6950","TCGA-CV-6951","TCGA-CV-6952","TCGA-CV-6953","TCGA-CV-6954","TCGA-CV-6955","TCGA-CV-6956","TCGA-CV-6959","TCGA-CV-6960","TCGA-CV-6961","TCGA-CV-6962","TCGA-CV-7089","TCGA-CV-7090","TCGA-CV-7091","TCGA-CV-7095","TCGA-CV-7097","TCGA-CV-7099","TCGA-CV-7100","TCGA-CV-7101","TCGA-CV-7102","TCGA-CV-7103","TCGA-CV-7104","TCGA-CV-7177","TCGA-CV-7178","TCGA-CV-7180","TCGA-CV-7183","TCGA-CV-7235","TCGA-CV-7236","TCGA-CV-7238","TCGA-CV-7242","TCGA-CV-7243","TCGA-CV-7245","TCGA-CV-7247","TCGA-CV-7248","TCGA-CV-7250","TCGA-CV-7252","TCGA-CV-7253","TCGA-CV-7254","TCGA-CV-7255","TCGA-CV-7261","TCGA-CV-7263","TCGA-CV-7406","TCGA-CV-7407","TCGA-CV-7410","TCGA-CV-7411","TCGA-CV-7413","TCGA-CV-7414","TCGA-CV-7415","TCGA-CV-7416","TCGA-CV-7418","TCGA-CV-7421","TCGA-CV-7422","TCGA-CV-7423","TCGA-CV-7424","TCGA-CV-7425","TCGA-CV-7427","TCGA-CV-7428","TCGA-CV-7429","TCGA-CV-7430","TCGA-CV-7432","TCGA-CV-7433","TCGA-CV-7434","TCGA-CV-7435"
"1","B cell",0.00959971682782623,0.00038423135827359,9.60972883754035e-06,0.000473203241088244,0.00308075866161801,0.000704383285761453,0.00370025919081253,0.00629478679168983,0.032572968163685,0.00646433472354516,0.0109542031284719,2.69009665380947e-08,0.00206067430926811,0.0323678806669803,0.00120343912251786,0.0137587105703627,0.0509941886645758,0.00156272533795155,0.000486573036088834,0.000944678403978558,0.00118605892531676,0.00239401680729402,0.0255652499666159,0.0100623827535671,0.00930432783730091,0.0039235285741752,5.82475159463459e-08,0.00978855663665729,0.0135262437680838,0.000708002124425201,5.02805271262231e-06,0.00563455579581288,1.59509597648442e-05,0.00577108659277534,0.00271396925318497,0.174814167889291,0.0396218211929836,0.000298817610977633,0.0280978424533915,0.000784867930882197,0.00758089717682523,6.96550538250836e-08,0.00295853370060268,0.000610981231646257,0.00201155521859406,0.000884570083638925,0.0018968110680669,4.16126601027196e-06,0.000536813066226728,0.000275369938231519,0.0105271858016029,0.0135082700014999,0.000803967531479739,1.74773519626727e-06,8.75372444319169e-05,7.81130689706868e-09,0.00658022546636709,0.00210673878948143,0.00087371587341394,0.141423522328429,0.00130044513895577,0.0188153289640491,0.00152246154940785,1.30481428166814e-05,0.00765132139213188,0.0408729211883054,0.000195692429306086,0.0067627918387542,0.00560897557777071,0.0121943094614663,0.0143619847079684,0.00889956926402659,0.00112812388660862,0.0369483735559407,5.70236744092264e-05,0.00490999796998314,0.000853884881639522,1.21971623104464e-07,0.000220320558178423,0.00151390963208024,0.014938199912907,6.26003601134456e-09,0.00131011901230944,0.0463255569873303,0.0234886812060329,5.83465870391652e-08,0.0334995970748726,0.0118037882286657,6.82613578206938e-07,0.0794451300045764,0.0328039760664444,1.18823418022768e-07,0.0037204361426887,0.0252656640100627,0.000565737996411582,0.0313098271174394,1.08556171489684e-05,1.14213026879145e-07,0.000266814640706241,0.00452014873712146,0.000153106595305676,0.00184585305386988,0.00758830805930062,0.00392977655050289,0.000829357873726503,0.011117441298198,0.0113328187018769,0.00507299079007304,0.00203582340429805,0.00159655293138357,0.00946248846164207,0.00683810426428872,0.00416541623356302,0.000767038806899285,0.000238371960017316,0.0015455860824937,0.000911154656522435,0.0132409367241958,0.384188501380755,0.0150745225184718,0.0387744831975553,0.00241345798566318,0.0163226084462769,0.00884463316616843,0.060407260705511,2.76159662032452e-05,0.00282199606793408,0.00149071002440802,0.000586501245433975,0.00674717641285125,0.00181737915421393,0.00906679953468136,3.26790928933242e-07,0.000430751811183469,0.00151795542119704,0.000845652239592485,1.37744579939753e-07,0.00213912787774817,0.00303701460262677,5.9519241855977e-06,0.000715537968651885,0.00561274337878048,0.00767590531338345,0.00136232703760248,0.00282179057174222,0.000858632191963958,0.00136895604415728,0.00120659403354618,0.00361577631766212,1.45960881454184e-07,0.000887807139438779,0.000115506456764352,0.0103878284908663,0.00402990163575861,0.00178542603374587,2.49843501602622e-06,0.00239057125799125,0.00169352198606109,0.00408200373610263,0.000903952191552608,0.0330871866613647,3.16213834331526e-05,0.106528281921363,0.10399583095564,0.0754441854975314,0.0830926991081423,0.113059806954141,0.00703878094003596,0.0109938642332563,0.00616506297798521,2.48510003357519e-05,0.0037323937808611,0.0210906474430877,0.0176390821185217,0.119623487498068,0.179251940037151,0.0267108764183846,0.0904039607515937,0.00174222577755017,0.00293410655095875,0.0113450748914646,0.00153975993125915,0.0196367836359423,3.04039970036607e-05,1.75037745182853e-05,0.013282299153104,0.00888493504100043,0.009013696898301,0.0190573728927952,0.00323382983777088,0.00670405719169715,0.0679412553326458,4.96815805469867e-09,0.0268575498125219,0.00576446499074843,0.00446197389903057,1.31678838197408e-06,0.00967572254202692,0.0298715548712993,3.40270129716664e-07,0.0940518566467331,0.0805845798039021,1.82565888638465e-06,0.0105509679095624,0.0376837394901629,0.0131774509448655,0.0339631416508642,0.0142519688223932,0.000775032569031786,0.00210271213696447,0.0039192470910531,2.81625651387861e-05,0.0404625484959634,0.0389457018813858,0.0143680268724941,0.0863350708200963,0.00826653353128822,4.91790511354712e-07,9.4283495032801e-08,0.00321931619067689,0.00428900163850673,0.000931442261400603,0.00418305347218086,0.00143184294581362,0.073113101597615,5.45354347135028e-08,0.000196169987784807,0.00582366841472797,0.00929689411590884,6.10351744564646e-07,0.000649116909242926,8.89433830918535e-05,0.00936085574994596,0.000651703335974698,0.00172029765837753,0.0157199151607526,1.11443276346689e-06,0.000550426974367724,0.000927115154068166,8.05142245929164e-07,0.00104927313495012,0.00738560492156288,0.000474464110353441,0.001187206646322,0.0235225588214781,0.000444651500881985,0.00216370055738043,0.0392952273038342,0.00713751161107481,1.72562297086703e-06,0.00333187003819054,0.000665068669460268,0.00108375380860463,0.00159129933518399,0.0126664270079183,0.000256368874977607,4.09028022303129e-06,0.000463932916095232,0.00708308973522218,0.0020226309021859,0.000607580642786161,0.00240210769190373,0.00131294444015014,0.00118139350656909,0.000868919602142195,0.00284901186656934,1.64995223090642e-06,0.00234140140615858,0.0034050338248039,0.057234823280278,0.00143514721159895,2.04899862792911e-08,0.00159171131613732,0.00151759610994007,0.00103328363069015,0.00196065010337345,1.07519598723771e-06,1.46560917007866e-05,0.00167989545174747,0.00918027454081347,0.0560289803684745,3.33651851618265e-07,0.000332834871841055,0.000745276493302769,0.0592207674475821,0.00503872366356889,0.00360382442455158,0.00357364730712855,0.0870518382719702,0.0025040525576012,0.0165806192341181,0.0132482040140245,0.000666901532965073,0.000884595331389924,0.169349873065128,0.00184426415630092,8.84785481298392e-05,6.32178863563678e-08,0.00310276797886682,6.81614929938903e-06,0.00582790147411585,0.00178901821861503,0.0125983328924263,0.000586612676699004,0.0311835092431703,0.000746588111944186,0.00148373429029117,0.00170892701263248,0.000950987025187628,0.00151987301040929,0.000427807200382613,5.04164503192734e-06,0.000256267456380668,2.79216714691914e-08
"2","Cancer associated fibroblast",0.565276725601139,0.159706496766093,0.0312815602456713,0.0426015399826733,0.0626024893295389,0.696832380281067,0.0929492903095949,0.0942109064574099,0.0663987879260647,0.0431076118178934,0.0653997898306234,0.494964738151208,0.065376053303821,0.319031861845548,0.174973729586618,0.0374148745081843,0.055679624074842,0.460264640593891,0.184344518640666,0.13520028481466,0.178507818323865,0.131831890365432,0.0112059531511595,0.0649699404397754,0.126743690424115,0.0860445441304835,0.0139823933112222,0.0726810898113466,0.110871373080605,0.0437099193984739,0.594892314969613,0.0242574455825319,0.0443474416719939,0.0267135894339021,0.695153164409935,0.0471850397429256,0.082661231830888,0.0260391788220362,0.0314226763142922,0.0188669398023535,0.095809574491285,0.92640371290293,0.0111679119417408,0.707064345704267,0.117686641412005,0.0928230394338939,0.0130781214873119,0.183175600815719,0.0348987922205657,0.0170708447995857,0.102141450578076,0.295481015973497,0.0479491185533354,0.176486613094896,0.181097163088256,0.99999628345692,0.145203819800028,0.0516746549937806,0.242119027826259,0.450251797375585,0.166172952897517,0.143914036675637,0.320016769806906,0.421862962456258,0.0581585893624134,0.0687635100413654,0.98579334707412,0.0783647188404439,0.51166254812109,0.485085392440196,0.252990423699565,0.918012350725513,0.676441111087416,0.0826241337052728,0.764441914047961,0.248908303241263,0.187586242443575,0.0391395561399937,0.346224891788405,0.119709777679946,0.150405483814069,0.869327846428402,0.306379709441101,0.0256403095221002,0.139979352118886,0.109846452961466,0.103169608923104,0.0836281028384663,0.999935012599616,0.491669401404867,0.561076625889338,0.999456456702284,0.274635298962818,0.0593516353736623,0.571274632827123,0.0497543135181814,0.300105108639011,0.0591634720694232,0.954294533806287,0.13444602139319,0.508152267139859,0.0765966600792682,0.115967145066192,0.224656135768242,0.0223527377810691,0.219965235448496,0.0339315047180586,0.0476882472126467,0.342102067085232,0.0702781554014759,0.01847522186528,0.0693052364751588,0.0398236896986617,0.609867381703174,0.051282360107611,0.0205508841872662,0.0758028444433245,0.00619874195011073,0.0206700607093831,0.0302406314562216,0.0520579906512228,0.0062230831184574,0.0783512371125983,0.137733370700752,0.249342046777336,0.105380614157503,0.0463004486079549,0.211928620222204,0.640900541480791,0.0650162916765094,0.209776127233292,0.109396725415392,0.721592352815281,0.101101727181153,0.248116338063409,0.03269809654624,0.999608783598362,0.0305720669017633,0.0313204560298831,0.999992073164838,0.0106414992715133,0.19645123581293,0.130531283141761,0.0895529727029392,0.0444684525276993,0.0499774926485496,0.0245870063866588,0.158718099008702,0.097614450148695,0.999987070415726,0.127167013150324,0.411859002306312,0.201471170026411,0.107295890542793,0.375661142139525,0.0647269651880904,0.020949139265893,0.194626910300379,0.122089665625833,0.259799469770993,0.310620471337729,0.779593673522719,0.0286660689634943,0.0613674409105966,0.14303486530134,0.0894538845111734,0.336721348961713,0.210966999005201,0.162833567942167,0.0541032128835423,0.919395028756196,0.359729800619171,0.117854548047284,0.020533965358805,0.0920059421323591,0.15619966973403,0.53269785624754,0.0888597739157505,0.233476416000425,0.059088261773269,0.061929151502816,0.0371584700043237,0.101403232871838,0.36190871973675,0.995247303008432,0.050233412700797,0.158361746725935,0.170757039242608,0.212365002881133,0.323250086832019,0.0602696092998753,0.0708769503251698,0.99998733386097,0.406046818381173,0.458163671242429,0.420840001297409,0.933494917392034,0.488779924907942,0.0342887530007576,0.999819522842816,0.215643004172422,0.185483240864437,0.356122088006758,0.150213256485507,0.490186944494898,0.153948568650607,0.250948984370423,0.183116984074264,0.986210430966566,0.377707193953542,0.0564139054421112,0.491291284011104,0.117405275156957,0.0658773854443444,0.0797725178089615,0.50150957389805,0.0891420282033724,0.47289583331725,0.218752739009561,0.135077978390454,0.0212110328285136,0.055631272803832,0.178579610233008,0.00519680897876662,0.105280972665181,0.980932703175806,0.0912145429548984,0.198548188572751,0.437612555210113,0.0244503540778933,0.18304274651289,0.0459268017424219,0.763074329879345,0.0710169622782449,0.0262958876246389,0.0196655967617341,0.0168099539505807,0.0110984057513403,0.253697593963044,0.999988628749649,0.331795229318116,0.109824485131915,0.292138148080052,0.0345542519659484,0.123909183696324,0.245497989994586,0.583753791061883,0.186356020303155,0.93524653007804,0.105836836075335,0.067501596658814,0.342682550469501,0.10546966654577,0.034914998198943,0.0177814875282932,0.147729324862639,0.00546420131917855,0.0831474427556545,0.0947721212039092,0.093514334714833,0.184556189556876,0.103444609509205,0.0238928154364965,0.53344376951259,0.218123925743751,0.0781441482432472,0.317500659428956,0.0348341727678045,0.36925180666414,0.101734472770771,0.422336378737975,0.999876940094139,0.214368832076354,0.703180816335705,0.674725372675316,0.0109211151200282,0.0966877409578739,0.704918142718665,0.293940357448685,0.11746497686318,0.0446028398978605,0.402975412841403,0.231361152545202,0.149734679337144,0.183624108332819,0.0421463046623354,0.150965919953412,0.0282041433365487,0.553434401951063,0.0243529912175299,0.291696505478301,0.463247689324147,0.351250761849427,0.0238217253496466,0.300838550661183,0.111704802045952,0.408683859715395,0.353422888691984,0.265951181325402,0.666640639008353,0.0498787489816954,0.233900927473392,0.148117069029735,0.122330095041737,0.620551883262206,0.0439101101933679,0.0315534956760636,0.0518134546782909,0.253672683189073,0.0320898283820033,0.0362765177824716,0.889138161604984,0.0838158530902787,0.999876126120069
"3","T cell CD4+",0.0389169016506066,0.0981398109728138,0.097894379923344,0.034361877531822,0.111801672955414,0.10725964235726,0.0925406878874278,0.0652823619434159,0.137188257781383,0.0780112921292533,0.111029769181889,0.0359201754494638,0.0612532354622368,0.0953574084239337,0.117224640847636,0.0611609712425883,0.0575591937649518,0.0621282437593789,0.0655673264410871,0.122639013155137,0.026818930336203,0.0787952302982184,0.0779234098884312,0.0700402820389652,0.0502693109734479,0.0224577712352443,3.36832480039714e-07,0.0466600328883946,0.0385974456381847,0.057979893061068,0.062240495183897,0.0958451842890884,0.100022918939527,0.096003788749433,0.0268558940890146,0.135064186754103,0.104493457232867,0.0492800342897033,0.0801799050857697,0.055200363622443,0.0624516433397399,0.000154097721069465,0.0527991278460988,0.0850624269857043,0.150042740261512,0.0366126379409058,0.0367235357192714,0.0488747574057957,0.0643357610740773,0.0460972274783812,0.00699130198687731,0.123721721984311,0.105764040918518,0.0290432051123895,0.0957401851933008,5.92251512897868e-08,0.0718937929330602,0.0794363580325936,0.0480780235200871,0.0761037982916895,0.0959787369912653,0.158499059869662,0.0609894996272419,0.0571772768599842,0.118698241898043,0.0642761370147745,1.14324274159015e-05,0.085562334972537,0.0422949993172299,0.053825312505269,0.0582026484147972,0.00203126979104145,0.0880547208366614,0.15974471923534,0.0457924194457321,0.0625484962780032,0.0638094863133421,0.0688139456432327,0.0875443870346416,0.109710206788558,0.0973949595473602,4.52993732911203e-07,0.0430318228393475,0.10326627025268,0.0936100338391908,0.142272208982002,0.0783253060633956,0.113343459985994,4.12197797056046e-05,0.0753683030513172,0.035383357818439,0.000140023919671603,0.0764588817306106,0.0800651552730927,0.102740088637328,0.0899940440677971,0.0496267185647002,0.00669431184165318,6.50985263890497e-07,0.109104037853089,0.0502397433961439,0.120898834442655,0.176193088958463,0.106522317141161,0.0774319031891095,0.107458072216576,0.0764815693370883,0.108754329090057,0.0396948499898299,0.0982618756753768,0.0818444057606152,0.115248877301224,0.0758304061493249,0.00265446157795103,0.0812480246136826,0.0310101484189176,0.0824953690285552,0.0840016773217861,5.19562273909957e-05,0.0788333013982025,0.0839384767462994,0.0807137970795321,0.0631033165483512,0.0524288992848443,0.052725915624418,0.0830436002851156,0.0430133023451194,0.0660226722643529,0.0724853227330387,0.0565227869340357,0.0731359952300857,0.0300634000610717,0.0280163722854553,0.050971209623216,0.0678380066367491,0.0517918641231144,1.83813930840716e-07,0.0370339106225483,0.0587762343971739,1.11859850959813e-06,0.0531710537082256,0.0858473140282315,0.103278384375806,0.052674677508051,0.0758934673494535,0.0650560020030015,0.107905498697207,0.147319195388791,0.0506775419575143,6.87334758928002e-06,0.0952453687821511,0.0863067184072783,0.0535827747166752,0.0941458484595682,0.13666102343725,0.0976430908268029,0.0177294372237854,0.11773369402767,0.122379235337467,0.0824871523539997,0.0904924342761825,0.0410246469648473,0.060434755541536,0.128308299166665,0.107983623022917,0.13273835076457,0.112961936277143,0.0850027579288035,0.0562559936366111,0.0509974317496732,0.00840426370894905,0.0914843374258164,0.18389649921239,0.107295774075319,0.0757653012195998,0.10394829791484,0.03688798270379,0.111539730933053,0.0922477454548768,0.0250347495886833,0.0828813455596269,0.0652894992052184,0.106810679427921,0.0745838085309712,1.6817530579718e-05,0.100755268076866,0.112399299015761,0.135160326881762,0.141690674152222,0.0564712398185273,0.210670777679191,0.1362906838298,8.94287790795195e-08,0.0918204431849834,0.0806223627265905,0.100255805587634,5.86197701083425e-08,0.0362452639091921,0.115040282436771,3.13086056431345e-06,0.0800820752530512,0.0622280185907202,0.0615259576914424,0.0147839472999312,0.107760927273638,0.0825447786193963,0.091857780066286,0.066944665283586,1.17478384220168e-05,0.118329125820301,0.0753616311766688,0.0427612657270176,0.105475179245775,0.102994314582516,0.0557934676926986,0.0168593023397933,0.0475945882352703,0.069069705715352,0.193547469636231,0.0865110641406658,0.0517357954273307,0.0584575338515435,0.0987985084102602,0.0452887176009755,0.0788814486582673,2.02372271510834e-06,0.179620401755038,0.0613373167078409,0.0778991785434732,0.0286417154404188,0.0831774539074425,0.067900923327388,0.0635470816573037,0.0957350769455796,0.0932443736327319,0.0790992898506314,1.65321064755221e-07,0.0572026717222485,0.058326593534467,1.88099473471652e-07,0.0495252780184065,0.0729985198873757,0.0746060481136546,0.114558559826514,0.158338307255066,0.086642573449448,0.0485496545151341,0.089449721153233,4.4937377781107e-06,0.0515532558705635,0.0987829604288522,0.0672281226821232,0.0691779602754948,0.0679451729988851,3.22650790677751e-08,0.0320815278304587,3.27917282749686e-07,0.0740550937041357,0.130721295597304,0.0734354491259879,0.0839804999153578,0.0917728111479678,0.0654451489764768,0.0681597340219813,0.0779069787076689,0.0779198388882215,0.0897695455947102,0.0833036187244057,0.136693867537828,0.0649576554326284,0.0635454223852837,2.77980399982478e-06,0.121454776355613,0.0450060200393172,0.00677164046490766,0.0337862391035588,4.27421672240694e-06,1.53477499763307e-05,0.11945428952914,0.0722407875192037,0.0895409748816089,0.0472176899435819,0.0911830875843559,0.074668721750055,0.113020728880759,0.0786317842586561,0.0827418268749209,0.0461077745188871,0.0234032240748137,0.116834581189039,0.0603447529284494,0.0509624313218378,0.0758135054909376,0.0819350223047152,0.0466705330103162,0.0183351021646111,0.0472267402435055,0.109874598245697,0.0742460908822421,0.0753918531811689,0.0926278575032077,0.0763191342734671,0.0799895097078077,0.0831417403998856,0.0594917532498724,0.0415917670572516,0.0643239448892235,0.0603491797968808,0.108409030998024,0.104959197273091,0.0636542370707923,0.00636815105918971,0.0928957671748064,2.12558620562596e-05
