"group","N","Observed","Expected","O.E.2.E","Chisq","p_value"
"USP9Y_mRNA_expression=High",132,47,67.3116899535348,6.12916937686929,11.2543704638463,0.000794357586616208
"USP9Y_mRNA_expression=Low",181,103,82.6883100464652,4.98939630688661,11.2543704638463,0.000794357586616208
