"group","N","Observed","Expected","O.E.2.E","Chisq","p_value"
"UTY_mRNA_expression=High",88,26,48.5115208160236,10.4463550291929,15.8010871471133,7.03620676428855e-05
"UTY_mRNA_expression=Low",225,124,101.488479183976,4.993360561957,15.8010871471133,7.03620676428855e-05
