"group","N","Observed","Expected","O.E.2.E","Chisq","p_value"
"TXLNGY_mRNA_expression=High",80,25,42.2357290002174,7.03362677053371,10.0510223785413,0.00152263416485714
"TXLNGY_mRNA_expression=Low",233,125,107.764270999783,2.75666834111961,10.0510223785413,0.00152263416485714
